FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/4/2020,17,-99,41,18,-99,20,32,-99,-99,24,8,22,-99,-99,-99,35,29,-99,45,-99,12,-99,29,30,27,20,23,-99,26,25,14,-99,34,7,25
1/4/2020,18,-99,30,14,-99,20,21,-99,-99,21,6,17,-99,-99,-99,27,30,-99,49,-99,11,-99,27,24,31,20,18,-99,37,27,13,-99,32,8,19
1/4/2020,19,-99,27,14,-99,20,19,-99,-99,16,6,16,-99,-99,-99,22,32,-99,49,-99,9,-99,26,23,29,22,17,-99,30,31,14,-99,28,14,18
1/4/2020,20,-99,22,14,-99,25,14,-99,-99,14,17,21,-99,-99,-99,22,39,-99,41,-99,14,-99,30,17,28,26,13,-99,25,41,23,-99,29,20,23
1/4/2020,21,-99,18,25,-99,35,18,-99,-99,18,21,15,-99,-99,-99,29,38,-99,39,-99,18,-99,37,18,35,28,15,-99,27,33,42,-99,35,25,41
1/4/2020,22,-99,24,27,-99,35,18,-99,-99,18,59,15,-99,-99,-99,38,42,-99,46,-99,23,-99,43,21,52,31,16,-99,36,46,35,-99,32,20,30
1/4/2020,23,-99,18,23,-99,30,25,-99,-99,17,82,19,-99,-99,-99,39,47,-99,37,-99,25,-99,46,24,51,35,28,-99,36,45,27,-99,49,27,35
1/4/2020,24,-99,14,16,-99,29,22,-99,-99,18,60,34,-99,-99,-99,34,32,-99,41,-99,25,-99,43,24,51,27,33,-99,30,33,32,-99,48,20,50
1/5/2020,1,-99,11,10,-99,26,20,-99,-99,25,47,22,-99,-99,-99,29,23,-99,36,-99,68,-99,47,22,45,40,24,-99,31,26,33,-99,50,20,60
1/5/2020,2,-99,7,9,-99,18,19,-99,-99,26,45,27,-99,-99,-99,29,48,-99,47,-99,58,-99,44,14,44,36,20,-99,26,21,44,-99,50,29,45
1/5/2020,3,-99,12,7,-99,18,15,-99,-99,40,47,14,-99,-99,-99,26,26,-99,29,-99,50,-99,29,13,31,32,16,-99,30,29,28,-99,51,16,45
1/5/2020,4,-99,14,15,-99,41,11,-99,-99,38,40,11,-99,-99,-99,44,27,-99,36,-99,35,-99,23,16,28,22,14,-99,26,37,23,-99,39,17,52
1/5/2020,5,-99,13,10,-99,45,22,-99,-99,28,51,13,-99,-99,-99,36,32,-99,44,-99,37,-99,18,18,19,31,20,-99,26,40,32,-99,31,17,57
1/5/2020,6,-99,14,10,-99,44,29,-99,-99,26,42,15,-99,-99,-99,44,42,-99,65,-99,24,-99,21,23,19,33,27,-99,29,42,47,-99,29,29,60
1/5/2020,7,-99,15,22,-99,46,36,-99,-99,46,56,34,-99,-99,-99,50,49,-99,97,-99,24,-99,25,31,29,43,42,-99,26,37,57,-99,37,38,65
1/5/2020,8,-99,18,43,-99,38,44,-99,-99,57,89,42,-99,-99,-99,73,67,-99,106,-99,82,-99,30,39,71,66,53,-99,39,59,52,-99,53,54,73
