FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
12/29/2020,18,-99,-99,1,-99,2,1,-99,-99,-99,1,12,-99,-99,-99,-99,-99,-99,1,1,1,-99,0,0,0,3,2,-99,1,4,-99,1,1,0,-99
12/29/2020,19,-99,-99,17,-99,5,1,-99,-99,-99,1,79,-99,-99,-99,-99,-99,-99,4,28,1,-99,0,1,0,6,2,-99,2,8,-99,1,1,8,-99
12/29/2020,20,-99,-99,1,-99,5,1,-99,-99,-99,30,56,-99,-99,-99,-99,-99,-99,2,1,1,-99,0,0,0,4,2,-99,3,27,-99,1,0,14,-99
12/29/2020,21,-99,-99,4,-99,2,1,-99,-99,-99,88,38,-99,-99,-99,-99,-99,-99,3,0,1,-99,0,0,1,2,1,-99,6,10,-99,1,1,9,-99
12/29/2020,22,-99,-99,7,-99,3,2,-99,-99,-99,45,45,-99,-99,-99,-99,-99,-99,14,1,1,-99,0,2,0,2,2,-99,8,13,-99,1,2,4,-99
12/29/2020,23,-99,-99,8,-99,67,1,-99,-99,-99,66,15,-99,-99,-99,-99,-99,-99,14,9,1,-99,0,0,1,2,2,-99,4,12,-99,1,2,17,-99
12/29/2020,24,-99,-99,11,-99,32,1,-99,-99,-99,108,23,-99,-99,-99,-99,-99,-99,9,38,1,-99,5,0,0,4,2,-99,9,20,-99,1,1,64,-99
12/30/2020,1,-99,-99,20,-99,113,1,-99,-99,-99,85,4,-99,-99,-99,-99,-99,-99,3,9,1,-99,0,0,0,7,2,-99,3,43,-99,1,1,36,-99
12/30/2020,2,-99,-99,6,-99,95,1,-99,-99,-99,90,5,-99,-99,-99,-99,-99,-99,3,7,1,-99,0,1,0,49,2,-99,1,5,-99,1,1,28,-99
12/30/2020,3,-99,-99,3,-99,30,2,-99,-99,-99,92,2,-99,-99,-99,-99,-99,-99,12,3,21,-99,3,0,1,27,1,-99,1,9,-99,1,1,23,-99
12/30/2020,4,-99,-99,1,-99,63,1,-99,-99,-99,65,2,-99,-99,-99,-99,-99,-99,5,28,29,-99,3,0,1,47,1,-99,1,4,-99,19,1,22,-99
12/30/2020,5,-99,-99,2,-99,68,1,-99,-99,-99,44,2,-99,-99,-99,-99,-99,-99,21,30,73,-99,0,0,0,40,1,-99,1,5,-99,6,2,16,-99
12/30/2020,6,-99,-99,9,-99,94,1,-99,-99,-99,100,14,-99,-99,-99,-99,-99,-99,64,60,80,-99,1,0,1,117,6,-99,2,16,-99,1,3,49,-99
