Fecha,promedioGasNOX,Infectados,Defunciones
8/2/2020,2729.166666666667,269,53
8/3/2020,3873.913043478261,880,56
8/4/2020,4243.478260869565,1043,54
8/5/2020,2571.4285714285716,1024,60
8/6/2020,3333.3333333333335,931,42
8/7/2020,2570.833333333333,1009,52
8/8/2020,2054.166666666667,479,63
8/9/2020,2570.833333333333,194,33
8/10/2020,4469.565217391305,904,48
8/11/2020,2300.0,1046,42
8/12/2020,3212.5,1039,43
8/13/2020,3629.1666666666665,1016,46
8/14/2020,4725.0,1054,43
8/15/2020,4283.333333333334,485,44
8/16/2020,2382.608695652174,191,40
8/17/2020,3790.4761904761904,1025,43
8/18/2020,3508.3333333333335,1202,46
8/19/2020,3658.3333333333335,1148,42
8/20/2020,3329.1666666666665,974,49
8/21/2020,3570.8333333333335,1093,39
8/22/2020,3430.4347826086955,520,43
8/23/2020,1733.3333333333333,282,51
8/24/2020,3087.5,1101,44
8/25/2020,3154.166666666667,1094,56
8/26/2020,3554.1666666666665,1457,43
8/27/2020,2900.0,1276,37
8/28/2020,5056.521739130435,1305,48
8/29/2020,3076.190476190476,749,51
8/30/2020,1845.8333333333333,263,46
8/31/2020,3204.1666666666665,1075,46
9/1/2020,4166.666666666666,1457,61
9/2/2020,4095.8333333333335,1498,50
9/3/2020,3591.3043478260865,1379,44
9/4/2020,2371.4285714285716,1261,50
9/5/2020,2991.666666666667,674,46
9/6/2020,1908.3333333333333,258,47
9/7/2020,3050.0,1010,45
9/8/2020,3337.5,1389,40
9/9/2020,3647.826086956522,1327,45
9/10/2020,4219.047619047619,1233,49
9/11/2020,3654.1666666666665,1221,52
9/12/2020,2462.5,750,52
9/13/2020,1954.1666666666667,237,45
9/14/2020,3854.1666666666665,1000,46
9/15/2020,3126.086956521739,796,55
9/16/2020,1595.2380952380952,236,39
9/17/2020,2841.666666666667,1304,42
9/18/2020,3676.190476190476,1171,44
9/19/2020,3845.8333333333335,655,41
9/20/2020,3208.3333333333335,270,34
9/21/2020,4265.217391304348,982,36
9/22/2020,5466.666666666666,1271,46
9/23/2020,4891.666666666666,1219,52
9/24/2020,4287.5,1172,43
9/25/2020,5333.333333333334,1163,42
9/26/2020,0.0,756,45
9/27/2020,0.0,308,54
9/28/2020,0.0,1131,38
9/29/2020,0.0,1240,55
9/30/2020,0.0,1221,43
10/1/2020,6087.5,1193,39
10/2/2020,4433.333333333334,1064,48
10/3/2020,2370.833333333333,560,47
10/4/2020,2195.2380952380954,237,47
10/5/2020,3575.0,1048,57
10/6/2020,4687.5,1226,46
10/7/2020,6408.333333333333,1245,32
10/8/2020,4854.166666666666,1201,43
10/9/2020,5300.0,1210,42
10/10/2020,4304.7619047619055,557,48
10/11/2020,4112.5,303,42
10/12/2020,6379.166666666666,1258,49
10/13/2020,5200.0,1374,44
10/14/2020,4429.166666666666,1232,45
10/15/2020,5287.5,1347,33
10/16/2020,4842.857142857143,1523,42
10/17/2020,3412.5,681,43
10/18/2020,4675.0,331,51
10/19/2020,4583.333333333334,1879,55
10/20/2020,3720.8333333333335,1982,44
10/21/2020,3908.3333333333335,1749,56
10/22/2020,4444.444444444444,1784,42
10/23/2020,7125.0,1893,52
10/24/2020,6895.833333333333,788,40
10/25/2020,4520.833333333334,319,48
10/26/2020,6758.333333333333,1986,49
10/27/2020,6337.5,1925,41
10/28/2020,5209.523809523809,1950,60
10/29/2020,5268.181818181818,1703,42
10/30/2020,3375.0,1542,44
10/31/2020,5100.0,698,48
11/1/2020,3825.0,310,56
11/2/2020,1445.8333333333335,657,49
11/3/2020,4385.0,2163,40
11/4/2020,5595.833333333334,2003,64
11/5/2020,4650.0,1958,58
11/6/2020,4925.0,1770,54
11/7/2020,4787.5,832,53
11/8/2020,5550.0,345,54
11/9/2020,8257.142857142857,2411,54
11/10/2020,6456.521739130434,2336,58
11/11/2020,7254.166666666667,2142,52
11/12/2020,6229.166666666666,2025,76
11/13/2020,8529.166666666668,2031,67
11/14/2020,7195.833333333333,930,66
11/15/2020,4714.285714285715,424,61
11/16/2020,1958.3333333333333,446,75
11/17/2020,3116.666666666667,2513,64
11/18/2020,3966.6666666666665,2173,70
11/19/2020,4950.0,1999,67
11/20/2020,5491.666666666666,2091,75
11/21/2020,3647.6190476190473,1226,69
11/22/2020,3741.6666666666665,446,79
11/23/2020,4925.0,2854,85
11/24/2020,9565.0,2961,70
